State,Year,Species,Metric Tons,Pounds,$,Price Per Pound,
CT,2000,"COD, ATLANTIC",36,"79,668","82,544",0.97,
MA,2000,"COD, ATLANTIC",8988,"19,814,072","20,664,297",0.96,
RI,2000,"COD, ATLANTIC",330,"728,048","725,434",1,
ME,2000,"COD, ATLANTIC",1180,"2,602,104","2,994,368",0.87,
CT,2001,"COD, ATLANTIC",95,"209,094","178,308",1.17,
MA,2001,"COD, ATLANTIC",12447,"27,439,731","26,106,552",1.05,
RI,2001,"COD, ATLANTIC",237,"521,859","487,229",1.07,
ME,2001,"COD, ATLANTIC",1334,"2,941,822","3,114,399",0.94,
MA,2002,"COD, ATLANTIC",10809,"23,829,006","24,995,502",0.95,
RI,2002,"COD, ATLANTIC",240,"528,317","449,805",1.17,
ME,2002,"COD, ATLANTIC",1317,"2,903,966","3,203,755",0.91,
MA,2003,"COD, ATLANTIC",8714,"19,211,164","22,167,498",0.87,
RI,2003,"COD, ATLANTIC",221,"487,976","467,065",1.04,
ME,2003,"COD, ATLANTIC",1083,"2,386,566","2,954,969",0.81,
CT,2004,"COD, ATLANTIC",2,"4,282","4,385",0.98,
MA,2004,"COD, ATLANTIC",5318,"11,724,389","15,859,228",0.74,
RI,2004,"COD, ATLANTIC",123,"270,834","313,025",0.87,
ME,2004,"COD, ATLANTIC",1074,"2,367,107","3,150,566",0.75,
CT,2005,"COD, ATLANTIC",2,"4,885","7,011",0.7,
MA,2005,"COD, ATLANTIC",4724,"10,413,341","15,765,983",0.66,
RI,2005,"COD, ATLANTIC",93,"204,898","287,623",0.71,
ME,2005,"COD, ATLANTIC",888,"1,957,219","2,805,402",0.7,
CT,2006,"COD, ATLANTIC",0,631,993,0.64,
MA,2006,"COD, ATLANTIC",4511,"9,944,668","16,025,328",0.62,
RI,2006,"COD, ATLANTIC",89,"196,027","303,595",0.65,
ME,2006,"COD, ATLANTIC",644,"1,419,029","2,370,269",0.6,
CT,2007,"COD, ATLANTIC",3,"6,197","11,926",0.52,
MA,2007,"COD, ATLANTIC",6206,"13,681,988","21,835,892",0.63,
RI,2007,"COD, ATLANTIC",288,"634,499","996,277",0.64,
ME,2007,"COD, ATLANTIC",623,"1,374,143","2,215,058",0.62,
CT,2008,"COD, ATLANTIC",1,"1,645","2,502",0.66,
MA,2008,"COD, ATLANTIC",7273,"16,034,999","24,169,469",0.66,
RI,2008,"COD, ATLANTIC",125,"275,415","428,734",0.64,
ME,2008,"COD, ATLANTIC",601,"1,324,470","3,775,055",0.35,
CT,2009,"COD, ATLANTIC",3,"6,641","11,640",0.57,
MA,2009,"COD, ATLANTIC",7266,"16,018,385","20,422,109",0.78,
RI,2009,"COD, ATLANTIC",180,"395,806","532,758",0.74,
ME,2009,"COD, ATLANTIC",562,"1,238,893","1,535,599",0.81,
CT,2010,"COD, ATLANTIC",3,"5,673","9,459",0.6,
MA,2010,"COD, ATLANTIC",6973,"15,372,052","23,999,317",0.64,
RI,2010,"COD, ATLANTIC",127,"279,129","410,127",0.68,
ME,2010,"COD, ATLANTIC",339,"748,131","1,388,716",0.54,
CT,2011,"COD, ATLANTIC",0,2,4,0.5,
MA,2011,"COD, ATLANTIC",6810,"15,012,175","27,582,793",0.54,
RI,2011,"COD, ATLANTIC",186,"408,866","758,667",0.54,
ME,2011,"COD, ATLANTIC",369,"814,077","1,617,500",0.5,
CT,2012,"COD, ATLANTIC",3,"7,256","14,223",0.51,
MA,2012,"COD, ATLANTIC",4075,"8,983,606","18,558,036",0.48,
RI,2012,"COD, ATLANTIC",123,"271,413","582,177",0.47,
ME,2012,"COD, ATLANTIC",224,"492,714","1,234,332",0.4,
CT,2013,"COD, ATLANTIC",0,39,21,1.86,
MA,2013,"COD, ATLANTIC",1880,"4,145,441","8,376,619",0.49,
RI,2013,"COD, ATLANTIC",132,"290,315","722,988",0.4,
ME,2013,"COD, ATLANTIC",130,"286,298","737,685",0.39,
CT,2014,"COD, ATLANTIC",0,523,"1,131",0.46,
MA,2014,"COD, ATLANTIC",1948,"4,294,491","7,493,636",0.57,
RI,2014,"COD, ATLANTIC",89,"195,072","382,004",0.51,
ME,2014,"COD, ATLANTIC",183,"404,122","884,371",0.46,
CT,2015,"COD, ATLANTIC",1,"1,968","3,819",0.52,
MA,2015,"COD, ATLANTIC",1322,"2,913,481","5,528,295",0.53,
RI,2015,"COD, ATLANTIC",63,"138,891","281,061",0.49,
ME,2015,"COD, ATLANTIC",116,"254,594","496,878",0.51,
CT,2016,"COD, ATLANTIC",12,"25,660","48,890",0.52,
MA,2016,"COD, ATLANTIC",1236,"2,723,902","5,164,264",0.53,
RI,2016,"COD, ATLANTIC",95,"209,647","393,896",0.53,
ME,2016,"COD, ATLANTIC",75,"166,081","341,501",0.49,
CT,2000,"FLOUNDER, WINTER",202,"445,239","383,356",1.16,
